,Rough Trade-In,Average Trade-In,Clean Trade-In,Clean Retail
Base Price,"$17,800","$19,050","$20,050","$22,900"
Mileage,N/A,N/A,N/A,N/A
Total Base Price,"$17,800","$19,050","$20,050","$22,900"
Options: (add),,,,
Price with Options,"$17,800","$19,050","$20,050","$22,900"

