,Rough Trade-In,Average Trade-In,Clean Trade-In,Clean Retail
Base Price,"$21,825","$23,125","$24,175","$26,825"
Mileage,N/A,N/A,N/A,N/A
Total Base Price,"$21,825","$23,125","$24,175","$26,825"
Options: (add),,,,
Price with Options,"$21,825","$23,125","$24,175","$26,825"

