,Rough Trade-In,Average Trade-In,Clean Trade-In,Clean Retail
Base Price,"$13,950","$15,125","$16,075","$19,125"
Mileage,N/A,N/A,N/A,N/A
Total Base Price,"$13,950","$15,125","$16,075","$19,125"
Options: (add),,,,
Price with Options,"$13,950","$15,125","$16,075","$19,125"

