,Rough Trade-In,Average Trade-In,Clean Trade-In,Clean Retail
Base Price,"$20,225","$21,500","$22,525","$25,200"
Mileage,N/A,N/A,N/A,N/A
Total Base Price,"$20,225","$21,500","$22,525","$25,200"
Options: (add),,,,
Price with Options,"$20,225","$21,500","$22,525","$25,200"

