,Rough Trade-In,Average Trade-In,Clean Trade-In,Clean Retail
Base Price,"$24,375","$25,700","$26,775","$29,250"
Mileage,N/A,N/A,N/A,N/A
Total Base Price,"$24,375","$25,700","$26,775","$29,250"
Options: (add),,,,
Price with Options,"$24,375","$25,700","$26,775","$29,250"

