,Rough Trade-In,Average Trade-In,Clean Trade-In,Clean Retail
Base Price,"$12,325","$13,475","$14,400","$17,350"
Mileage,N/A,N/A,N/A,N/A
Total Base Price,"$12,325","$13,475","$14,400","$17,350"
Options: (add),,,,
Price with Options,"$12,325","$13,475","$14,400","$17,350"

