,Rough Trade-In,Average Trade-In,Clean Trade-In,Clean Retail
Base Price,"$8,775","$9,850","$10,700","$13,500"
Mileage,N/A,N/A,N/A,N/A
Total Base Price,"$8,775","$9,850","$10,700","$13,500"
Options: (add),,,,
Price with Options,"$8,775","$9,850","$10,700","$13,500"

