,Rough Trade-In,Average Trade-In,Clean Trade-In,Clean Retail
Base Price,"$16,175","$17,400","$18,375","$21,325"
Mileage,N/A,N/A,N/A,N/A
Total Base Price,"$16,175","$17,400","$18,375","$21,325"
Options: (add),,,,
Price with Options,"$16,175","$17,400","$18,375","$21,325"

