,Rough Trade-In,Average Trade-In,Clean Trade-In,Clean Retail
Base Price,"$6,525","$7,525","$8,325","$10,925"
Mileage,N/A,N/A,N/A,N/A
Total Base Price,"$6,525","$7,525","$8,325","$10,925"
Options: (add),,,,
Price with Options,"$6,525","$7,525","$8,325","$10,925"

