,Rough Trade-In,Average Trade-In,Clean Trade-In,Clean Retail
Base Price,"$11,325","$12,450","$13,350","$16,275"
Mileage,N/A,N/A,N/A,N/A
Total Base Price,"$11,325","$12,450","$13,350","$16,275"
Options: (add),,,,
Price with Options,"$11,325","$12,450","$13,350","$16,275"

