,Rough Trade-In,Average Trade-In,Clean Trade-In,Clean Retail
Base Price,"$26,350","$27,700","$28,775","$30,925"
Mileage,N/A,N/A,N/A,N/A
Total Base Price,"$26,350","$27,700","$28,775","$30,925"
Options: (add),,,,
Price with Options,"$26,350","$27,700","$28,775","$30,925"

