,Rough Trade-In,Average Trade-In,Clean Trade-In,Clean Retail
Base Price,"$7,600","$8,625","$9,450","$12,150"
Mileage,N/A,N/A,N/A,N/A
Total Base Price,"$7,600","$8,625","$9,450","$12,150"
Options: (add),,,,
Price with Options,"$7,600","$8,625","$9,450","$12,150"

