,Rough Trade-In,Average Trade-In,Clean Trade-In,Clean Retail
Base Price,"$9,900","$11,000","$11,875","$14,750"
Mileage,N/A,N/A,N/A,N/A
Total Base Price,"$9,900","$11,000","$11,875","$14,750"
Options: (add),,,,
Price with Options,"$9,900","$11,000","$11,875","$14,750"

